グループ,関数名,役割
F,friedman (Pro),フリードマン検定（ノンパラメトリック二元配置検定）を実行
F,funcRank,複数のフィッティング関数に対してフィットしてAIC/BICでランク付け
G,g2layout,選択したグラフを新しいレイアウトページに追加
G,g2w,グラフをm×n配置でワークシートセルに移動・埋め込み
G,get_plot_sel,グラフ内の選択データプロットの情報を取得
G,get_wks_sel,ワークシートの選択範囲情報を取得
G,getnlr,レポートシートから非線形フィッティング結果をツリー変数に読み込み
G,getresults,解析レポートシートから結果をツリー変数に読み込み
G,getXYName,アクティブグラフのXY列名を取得
G,gfitp,グラフレイヤーをページ内にタイトフィットするよう自動調整
G,group_server,グループサーバーへの接続・管理を行う
G,groupmgr,グループフォルダーマネージャーダイアログを開く
G,grubbs,グラブス検定でデータセット内の外れ値を検出
G,gxy2w,グラフのXYデータをワークシートに出力
H,hcluster (Pro),階層的クラスター分析を実行
H,hilbert (Pro),ヒルベルト変換を実行して瞬時振幅・位相・周波数を計算
I,idwt (Pro),離散ウェーブレット逆変換（IDWT）で信号を再構築
I,idwt2 (Pro),2D離散ウェーブレット逆変換を実行
I,ifft1,逆高速フーリエ変換（IFFT）を実行
I,ifft2 (Pro),マトリックスデータの2D逆フーリエ変換を実行
I,imageprofile,マトリックス画像上の直線プロファイルを抽出・グラフ表示
I,imfcat,複数の画像ファイルを1枚の画像に連結
I,img2GIF,アクティブな画像ウィンドウをGIFファイルにエクスポート
I,img2m,グレースケール画像をデータマトリックスに変換
I,img2xyz (Pro),画像内の選択領域の強度データとXY座標をXYZ形式でワークシートに抽出
I,imgAutoBinary,自動しきい値でグレースケール画像を2値化
I,imgAutoLevel,画像に自動レベル調整を適用
I,imgAverage,複数フレーム画像を平均化してノイズ低減
I,imgBalance,画像のカラーバランスを調整
I,imgBinary,指定しきい値でグレースケール画像を2値化
I,imgBlend (Pro),2画像をアルファブレンドで合成
I,imgBrightness,画像の輝度を調整
I,imgC2gray,カラー画像をグレースケールに変換
I,imgClear,画像ウィンドウの画像データをクリア
I,imgColorlevel,画像のカラーレベル（入出力範囲）を調整
I,imgColorReplace,画像の特定色を別の色に置換
I,imgContrast,画像のコントラストを調整
I,imgCrop,画像を指定領域でトリミング
I,imgDynamicBinary (Pro),動的しきい値（局所適応しきい値）で画像を2値化
I,imgEdge,エッジ検出フィルタを適用
I,imgFile,画像ウィンドウに新しい画像ファイルをインポート
I,imgFlip,画像を水平または垂直に反転
I,imgFuncLUT (Pro),カスタム関数で定義したルックアップテーブル（LUT）を画像に適用
I,imgGamma,画像にガンマ補正を適用
I,imgGaussian,ガウシアンフィルタで画像をスムージング
I,imgHistcontrast,ヒストグラムストレッチングでコントラストを強調
I,imgHisteq,ヒストグラム均等化で画像を処理
I,imgHistogram,画像のピクセル強度ヒストグラムをグラフ表示
I,imgHue,画像の色相を調整
I,imgInfo,画像の基本パラメータ（サイズ・ビット深度等）をスクリプトウィンドウに出力
I,imgInvert,画像の色調を反転
I,imgLevel (Pro),画像のレベル（入出力範囲）を手動で細かく調整
I,imgMathfun (Pro),画像データに数学関数を適用
I,imgMedian,メジアンフィルタで画像のノイズを除去
I,imgMorph (Pro),形態学的変換（膨張・収縮・開・閉など）を適用
I,imgNoise,画像にノイズを付加（テスト用）
I,imgOffset,画像の輝度/色にオフセット値を加算
I,imgPalette,画像にカラーパレット（LUT）を適用
I,imgPixlog (Pro),画像のピクセル強度の対数マッピングを適用
I,imgReplaceBg (Pro),画像の背景を別の色や画像で置換
I,imgResize,画像をリサイズ（解像度変更）
I,imgRGBmerge (Pro),分離したRGBチャンネル画像をカラー画像に統合
I,imgRGBsplit (Pro),カラー画像をRGB各チャンネル画像に分割
I,imgRotate,画像を任意の角度で回転
I,imgSaturation,画像の彩度を調整
I,imgScale (Pro),画像のピクセル値を指定範囲にスケーリング
I,imgSharpen,シャープネスフィルタで画像の輪郭を強調
I,imgShear,画像にシアー（ずり）変換を適用
I,imgSimpleMath (Pro),2画像間の加算・減算・乗算・除算等の演算を実行
I,imgstack,複数画像ファイルを1つの画像ウィンドウにスタックとして読み込み
I,imgSubtractBg (Pro),ローリングボールアルゴリズムで画像の背景を自動除去
I,imgSubtractInterpBG (Pro),補間ベースラインで画像の背景を減算
I,imgThreshold (Pro),多段階しきい値処理を画像に適用
I,imgTrim,画像の余白部分を自動トリミング
I,imgUnsharpmask,アンシャープマスクで画像の輪郭を強調
I,imgUserfilter (Pro),カスタムカーネルを使ったユーザー定義フィルタを適用
I,impASC,ASCIIテキストファイルをインポート
I,impBin2d,2Dバイナリ配列ファイルをインポート
I,impBRUKER,BRUKER OPUS・NanoScopeファイルをインポート
I,impCDF,CDFファイル（v3.0以下）をインポート
I,impCSV,CSVファイルをインポート
I,impDT,Data Translation 1.0形式ファイルをインポート
I,impEDF,EDF/BDF/REC/HYP形式の生体電気信号ファイルをインポート
I,impEP,EarthProbe（EPA）ファイルをインポート
I,impExcel,ExcelファイルをCOMコンポーネントでインポート（旧式、impMSExcel推奨）
I,impFamos,Famosファイルをインポート
I,impFile,事前定義フィルタを使用してファイルをインポート
I,impFileSel,インポート前にファイル構造情報をLabTalkツリー変数に格納
I,impHDF5,HDF5ファイル（v1.8.2以下）をインポート
I,impHEKA,HEKA形式（.dat）ファイルをインポート
I,impIgorPro,"WaveMetrics IgorPro（.pxp, .ibw）ファイルをインポート"
I,impImage,画像ファイルを新しいマトリックスウィンドウにインポート
I,impinfo,インポートファイルの構造情報を読み取り
I,impISF,Tektronix ISFファイルをインポート
I,impJCAMP,JCAMP-DX Version 6形式ファイルをインポート
I,impJNB,SigmaPlot（.JNB）ファイルをインポート
I,impKG,KaleidaGraphファイルをインポート
I,impMatlab,MATLABファイルをインポート
I,impMDF,ETAS INCA MDF形式ファイルをインポート
I,impMNTB,Minitab（.MTW/.MPJ）ファイルをインポート
I,impMSExcel,ExcelファイルをExcelなしで直接インポート（推奨版）
I,impMZXML,MZXMLファイルをインポート
I,impNetCDF,NetCDFファイル（v4.0以下）をインポート
I,impNetCDFEx,NetCDFファイル（v4.01未満）をインポート
I,impNIDIAdem,National Instruments DIAdem 10.0ファイルをインポート
I,impNITDM,National Instruments TDM/TDMSファイルをインポート
I,impODQ,.ODQファイルをインポート
I,impOPJ,Origin Project（.OPJ/.ORG/.OGW）ファイルをインポート
I,imppClamp,pCLAMP（ABF 1.8/2.0）ファイルをインポート
I,impPrism,GraphPad Prismファイルをインポート
I,impSAS,SASファイルをインポート
I,impSIE,nCode Somat SIE 0.92ファイルをインポート
I,impSPC,Thermo（.SPC/.CGM）ファイルをインポート
I,impSPE,Princeton Instruments（.SPE）ファイルをインポート
I,impSPSS,SPSSファイルをインポート
I,impWav,WAVオーディオファイルをインポート
I,insert_graph_to_layer,グラフを別グラフウィンドウのレイヤーに挿入
I,insert_wks_to_layer,ワークシートをグラフレイヤーに挿入
I,insertArrow,グラフに矢印オブジェクトを挿入
I,insertCmt,ワークシートセルにコメントを挿入
I,insertGraph,グラフをワークシートセルに埋め込み挿入
I,insertImg,画像ファイルをワークシートセルに挿入
I,insertImg2g,グラフィックファイルをグラフウィンドウに挿入
I,insertNotes,グラフウィンドウにノートオブジェクトを挿入
I,insertSparklines,ワークシートセルにスパークライン（ミニグラフ）を挿入
I,insertVar,ワークシートセルにLabTalk変数値を挿入
I,instOPX,Origin XMLパッケージ（.OPX）をインストール
I,Integ1,XYデータの数値積分（曲線下面積）を計算
I,integ2 (Pro),マトリックスデータの2D積分（体積）を計算
I,interp1,指定したX値セットでXYデータを補間・外挿
I,interp1q,XYデータの補間を高速実行（簡易版）
I,interp1trace,XYデータのトレース/周期補間を実行（周期的曲線向け）
I,interp1xy,複数の手法でXYデータの補間・外挿を実行
I,interp2,指定XY値セットでXYZ散布データを補間
I,interp3,3D散布データの補間を実行
I,interpxyz,XYZデータのトレース/周期補間を実行
I,intersect,2つのXYデータセットの交点座標を計算
I,iwFilter,インポートフィルタ（IWF）を作成・編集
K,kaplanmeier (Pro),カプラン・マイヤー法で生存時間解析を実行
K,kmeans (Pro),K-meansクラスター分析を実行
K,kstest,コルモゴロフ-スミルノフ1標本検定（正規性検定）を実行
K,kstest2 (Pro),コルモゴロフ-スミルノフ2標本検定を実行
K,kwanova (Pro),クラスカル-ウォリス一元配置分散分析（ノンパラメトリック）を実行
L,label_layer,グラフレイヤーにラベル（番号・文字等）を追加
L,language,Originの表示言語を変更
L,layadd,グラフに新しいレイヤーを追加
L,layalign,指定レイヤーに合わせてグラフレイヤーを整列
L,layarrange,複数グラフレイヤーの位置と大きさを自動配置
L,laycolor,グラフレイヤーの背景色を設定
L,laycopyscale,指定レイヤーの軸スケールを他のレイヤーにコピー
L,layextract,アクティブグラフのレイヤーを新しいグラフウィンドウに分割抽出
L,laylink,複数グラフレイヤーを指定レイヤーにリンク（軸スケール共有）
L,laymanage,グラフレイヤー管理ダイアログを開く（追加・編集・整列・リンク）
L,laymplot,アクティブレイヤーからプロットを別レイヤーに移動
L,laymxn,m×n配置でグラフレイヤーを自動配置
L,laysetfont,グラフレイヤー内のフォントを一括設定
L,laysetpos,1つ以上のグラフレイヤーの位置を設定
L,laysetratio,グラフレイヤーの縦横比を設定
L,laysetscale,グラフレイヤーの軸スケールを設定
L,laysetunit,グラフレイヤーのサイズ単位（cm/インチ等）を設定
L,layswap,2つのグラフレイヤーのプロット位置と順序を交換
L,laytoggle,グラフレイヤーの表示・非表示を切り替え
L,layzoom,グラフレイヤーを指定倍率でズーム
L,lc,X-Functionカテゴリ一覧を表示または指定カテゴリの全関数をリスト
L,legendbox,ボックスチャート用コンポーネント凡例を作成
L,legendcat,カテゴリカル値の凡例を追加・更新・置換
L,legendupdate,グラフの凡例を更新または再構築
L,levelcrossing,指定Y値に対応するX値（レベル交差点）を検索
L,lic,モジュールライセンスファイルをOriginに追加
L,lillietest,リリーフォース正規性検定を実行
L,lvvicopy,Origin Sub-VIをLabVIEW User.libサブフォルダにコピー
L,lx,名前・キーワード等でX-Functionを検索・リスト表示
M,m2img,マトリックスデータを画像ウィンドウに変換
M,m2v,マトリックスをベクター（1列）に変換
M,m2w,マトリックスデータをワークシートに変換
M,map2c,振幅マトリックスと位相マトリックスを複素数マトリックスに合成
M,marea (Pro),マトリックスまたはXYZデータから表面積を計算
M,mathtool,ワークシートデータに基本的な数学演算（加減乗除等）を適用
M,mc2ap,複素数マトリックスを振幅と位相のマトリックスに変換
M,mc2ri,複素数マトリックスを実部・虚部のマトリックスに変換
M,mcellextract,マトリックスの選択範囲を別のマトリックスに抽出
M,mcopy,マトリックスをコピー
M,mCrop,マトリックスを指定領域でトリミング
M,mdim,マトリックスの次元・座標スケールを設定または取得
M,mdwt (Pro),マトリックスデータに離散ウェーブレット変換を実行
M,medianflt2,マトリックスデータに2Dメジアンフィルタを適用
M,mediantest (Pro),ムードのメジアン検定（ノンパラメトリック）を実行
M,merge_book,複数のワークブックを1冊に統合
M,merge_graph,複数のグラフを1つのグラフウィンドウに統合
M,mexpand,マトリックスを指定倍率で拡張（アップサンプリング）
M,mflip,マトリックスを水平または垂直に反転
M,mg2layout,複数グラフを新しいレイアウトページに自動配置
M,mgrid,マトリックスのXY座標グリッドを設定
M,minterp2,指定XY値セットでマトリックスデータを補間
M,minverse,正方行列の逆行列を計算
M,mkdir,新しいディレクトリ（フォルダ）を作成
M,MkOPX,Origin XMLパッケージ（.OPX）ファイルを作成
M,mks,データプロット内のデータマーカーを取得
M,mlabelbywcol,マトリックスレイヤーに対応するワークシート列名でラベルを付ける
M,mmathtool,マトリックスデータに基本的な数学演算を適用
M,mmoments (Pro),マトリックスの画像モーメントを計算
M,mo2s,複数マトリックスオブジェクトを持つマトリックスレイヤーを複数レイヤーのマトリックスページに変換
M,moments,データの統計的モーメント（平均・分散・歪度・尖度）を計算
M,mproperty,マトリックスシートのプロパティを取得・設定
M,mquantiles (Pro),マトリックスデータのパーセンタイルを計算
M,mreplace,マトリックスの指定値を別の値に置換
M,mri2c,2つのマトリックスの実数から複素数マトリックスを作成
M,mroi2mat,マトリックス上のROI（関心領域）を新しいマトリックスに抽出
M,mroi2xyz,マトリックス上のROI内データをXYZ形式でワークシートに抽出
M,mroiprofile,マトリックス上のROIのプロファイルをプロット
M,mrotate90,マトリックスを90度単位で回転
M,ms2o,複数マトリックスシートを1枚のシートに統合（複数マトリックスオブジェクトとして）
M,msclip,マトリックスデータを指定範囲でクリッピング（範囲外を欠損値に）
M,msetvalue,マトリックスの値を数式やスクリプトで設定
M,mshrink,マトリックスを縮小（ダウンサンプリング）
M,msmooth,マトリックスデータを平滑化
M,msresize,マトリックスシートの行数・列数を変更
M,mstacklr,マトリックスを左右方向に重ねて結合
M,mstackstats,マトリックススタックの統計量を計算
M,mstats (Pro),マトリックスデータの記述統計（平均・標準偏差等）を計算
M,msubtract,マトリックスから別のマトリックスを減算
M,mtranspose,マトリックスを転置
M,mwtest (Pro),マン・ホイットニー検定（ウィルコクソン順位和検定）を実行
M,mxy2grid,マトリックスのXY座標をグリッド形式に変換
N,nccopy,データコネクター付きブックのコピー操作を管理
N,NewApp,新しいOrigin Appを起動・インストール
N,newbook,新しいワークブックまたはマトリックスブックを作成
N,newHTML,新しいHTMLレポートウィンドウを作成
N,newinset,グラフページに挿入グラフ（インセット）を追加
N,newpanel,指定したm×nレイヤー配置で新しいグラフウィンドウを作成
N,newsheet,新しいワークシートを作成
N,nlbegin,非線形フィッティングセッションを開始（XYデータ用）
N,nlbeginm (Pro),非線形フィッティングセッションを開始（マトリックスデータ用）
N,nlbegino,非線形フィッティングセッションを開始（任意データ用）
N,nlbeginor,非線形フィッティングセッションを開始（直交回帰用）
N,nlbeginr,非線形フィッティングセッションを開始（範囲データ用）
N,nlbeginz (Pro),非線形フィッティングセッションを開始（XYZデータ用）
N,nlend,非線形フィッティングセッションを終了して結果を出力
N,nlfit,ダイアログなしで非線形カーブフィッティングを実行
N,nlfitpeaks,マルチピーク非線形フィッティングを実行
N,nlfn,現在の非線形フィッティング関数を設定・取得
N,nlgui,非線形フィッティングのGUIダイアログを開く
N,nlpara,非線形フィッティングのパラメータを設定・取得
N,normalize,XYデータまたはグラフ内のプロットを様々な方法で正規化
P,pa,ピーク解析（Peak Analyzer）ダイアログを開いてピーク処理を実行
P,palApply,グラフに指定のカラーパレットを適用
P,paMultiY,複数Y範囲に対してピーク解析を一括適用
P,patternD,ワークシートデータの日付/時刻パターンを検出・変換
P,patternN,ワークシートデータの数値パターンを検出・変換
P,patternT,ワークシートデータのテキストパターンを検出・変換
P,pb,ピーク解析のベースライン処理（作成・フィッティング）を実行
P,pca (Pro),主成分分析（PCA）を実行
P,pclampplotcontrol,pClampデータのプロット表示設定を制御
P,pcorrcoef (Pro),偏相関係数を計算
P,pe_cd,プロジェクトエクスプローラーの作業ディレクトリを変更
P,pe_dir,プロジェクトエクスプローラーのディレクトリ内容をリスト表示
P,pe_load,Origin プロジェクトをロード（開く）
P,pe_mkdir,プロジェクトエクスプローラーで新しいフォルダを作成
P,pe_move,プロジェクトエクスプローラーでウィンドウを別フォルダに移動
P,pe_path,プロジェクトエクスプローラーのフォルダパスを取得・設定
P,pe_rename,プロジェクトエクスプローラーのウィンドウやフォルダを名前変更
P,pe_rmdir,プロジェクトエクスプローラーのフォルダを削除
P,pe_save,プロジェクトをファイルに保存
P,pef_pptslide,プロジェクトエクスプローラーのフォルダ内グラフをPowerPointスライドにエクスポート
P,pef_slideshow,プロジェクトエクスプローラーのフォルダ内グラフのスライドショーを実行
P,pemp_pptslide,マルチページグラフをPowerPointスライドにエクスポート
P,pemp_slideshow,マルチページグラフのスライドショーを実行
P,pep_addshortcuts,プロジェクトエクスプローラーにショートカットを追加
P,pesp_gotofolder,プロジェクトエクスプローラーで指定フォルダに移動
P,pfit2l,指定した2つのレベルでデータにフィットを実行
P,phm_Cox (Pro),Cox比例ハザードモデルで生存時間回帰解析を実行
P,pickpts,グラフ上でマウスを使って手動でデータポイントを選択・取得
P,pkFind,信号データのピーク検出を実行してピーク位置・幅・高さを取得
P,plot_2x,2つのX軸を持つダブルX軸グラフを作成
P,plot_BA,ブランド-アルトマン（一致性）プロットを作成
P,plot_bygroup,グループ情報に基づいてマルチパネルグラフを作成
P,plot_chord,コード（弦）ダイアグラムを作成
P,plot_durov,デュロフ（三線式）ダイアグラムを作成
P,plot_gboxindexed,インデックス付きデータからグループ化ボックスチャートを作成
P,plot_gdot,グループ化ドットプロット（スタック対応）を作成
P,plot_gfloatbar,グループ化フローティングバーチャートを作成
P,plot_gindexed,インデックス付きデータからグループ化カラムプロットを作成
P,plot_group,グループ変数によるマルチパネルトレリスプロットを作成
P,plot_heatmapxy,XYデータからヒートマップを作成
P,plot_heatmapxyz,XYZデータからヒートマップを作成
P,plot_kde2,カーネル密度推定に基づく2Dカーネル密度プロットを作成
P,plot_lineser,2〜3シリーズのY値を直線で接続したグラフを作成
P,plot_marginal,主グラフに周辺分布グラフを付加した複合グラフを作成
P,plot_matrix,複数列の散布図行列（Scatter Matrix）を作成
P,plot_mosaic,カテゴリカルデータのモザイクプロットを作成
P,plot_multivari,マルチバリチャートを作成
P,plot_network,ネットワーク図（ノード・エッジ）を作成
P,plot_paretobin,ビン化データからパレート図を作成
P,plot_paretoraw,生データからパレート図を作成
P,plot_prob,指定分布の確率プロットまたはQ-Qプロットを作成
P,plot_rowwise,行方向のデータからプロットを作成
P,Plot_transpose_donut,転置データ対応のドーナツチャートを作成
P,plot_vari,マルチバリチャートを作成
P,plot_windrose,風向・風速データからウィンドローズ（風配図）を作成
P,plot_xyz3dstack,XYZデータから3Dスタックグラフを作成
P,plot_xyzquiver,等高線プロット上にグラジエントベクトルまたはストリームラインを重ねる
P,plotbylabel,列ラベルでグルーピングして複数レイヤーグラフを作成
P,plotcpack,階層構造を可視化する円形パッキンググラフを作成
P,plotellipse,グラフに統計的楕円（信頼楕円等）を追加
P,plotgboxraw,生データからグループ化ボックスプロットを作成
P,plotgroup,ページ・レイヤー・データグループの変数でプロットを組織化
P,plotm,マトリックスオブジェクトから3Dグラフを作成
P,plotmatrix,全選択データセット間の散布図行列を作成
P,plotms,マトリックスシートの全オブジェクトからカラーフィルサーフェス図を作成
P,plotmultivm,複数の仮想マトリックスから3Dまたは等高線グラフを作成
P,plotmyaxes,マルチ軸プロットの軸配置をカスタマイズ
P,plotpClamp,pClampデータをグラフ化
P,plotpiper,パイパープロット（水質分析用三角ダイアグラム）を作成または拡張
P,plotstack,スタック（積み重ね）マルチパネルグラフを作成
P,plotvm,ワークシートセル範囲を仮想マトリックスとして3Dまたは等高線グラフに描画
P,plotxy,XYデータを指定グラフタイプでプロット（汎用）
P,plotxyz,XYZデータを指定グラフタイプで3Dプロット（汎用）
Q,quantiles,ワークシート列のパーセンタイル（分位数）を計算
R,rank,ユーザー指定のしきい値でデータを段階的にランク分け
R,reduce_ex,XをリサンプリングしてXYデータを削減し均等間隔化
R,reducedup,同じX値を持つXYペアを統合してデータを削減
R,reducerows,N点ごとにデータをまとめて基本統計値で代表（間引き）
